CustomerKey,Age,CommuteDistance,EnglishEducation,Gender,HouseOwnerFlag,MaritalStatus,NumberCarsOwned,NumberChildrenAtHome,EnglishOccupation,Region,TotalChildren,YearlyIncome,BikeBuyer
11000,51,1-2 Miles,Bachelors,M,1,M,0,0,Professional,Pacific,2,90000,1
11001,52,0-1 Miles,Bachelors,M,0,S,1,3,Professional,Pacific,3,60000,1
11002,52,2-5 Miles,Bachelors,M,1,M,1,3,Professional,Pacific,3,60000,1
11003,50,5-10 Miles,Bachelors,F,0,S,1,0,Professional,Pacific,0,70000,1
11004,49,1-2 Miles,Bachelors,F,1,S,4,5,Professional,Pacific,5,80000,1
11005,52,5-10 Miles,Bachelors,M,1,S,1,0,Professional,Pacific,0,70000,1
11006,52,5-10 Miles,Bachelors,F,1,S,1,0,Professional,Pacific,0,70000,1
11007,53,0-1 Miles,Bachelors,M,1,M,2,3,Professional,Pacific,3,60000,1
11008,53,10+ Miles,Bachelors,F,1,S,3,4,Professional,Pacific,4,60000,1
11009,53,5-10 Miles,Bachelors,M,0,S,1,0,Professional,Pacific,0,70000,1
11010,54,5-10 Miles,Bachelors,F,0,S,1,0,Professional,Pacific,0,70000,1
11011,54,10+ Miles,Bachelors,M,1,M,4,4,Professional,Pacific,4,60000,1
11012,50,1-2 Miles,Bachelors,F,1,M,2,0,Management,North America,2,100000,0
11013,49,0-1 Miles,Bachelors,M,1,M,3,0,Management,North America,2,100000,0
11014,49,1-2 Miles,Bachelors,F,0,S,3,0,Management,North America,3,100000,0
11015,39,5-10 Miles,Partial College,F,0,S,1,0,Skilled Manual,North America,0,30000,1
11016,38,5-10 Miles,Partial College,M,1,M,1,0,Skilled Manual,North America,0,30000,1
11017,73,5-10 Miles,High School,F,1,S,2,0,Skilled Manual,Pacific,4,20000,1
11018,73,5-10 Miles,Partial College,M,1,S,2,0,Clerical,Pacific,2,30000,1
11019,40,5-10 Miles,High School,M,0,S,2,0,Skilled Manual,North America,0,40000,0
11020,39,1-2 Miles,High School,M,0,S,2,0,Skilled Manual,North America,0,40000,1
11021,39,1-2 Miles,Partial College,F,0,S,1,0,Skilled Manual,North America,0,40000,1
11022,39,5-10 Miles,Partial College,M,1,M,1,0,Skilled Manual,North America,0,40000,1
11023,39,1-2 Miles,Partial College,M,1,M,1,0,Skilled Manual,North America,0,40000,0
11024,39,5-10 Miles,Partial College,M,1,M,2,0,Skilled Manual,North America,0,60000,0
11025,72,1-2 Miles,Partial High School,M,1,M,2,1,Clerical,Pacific,2,10000,1
11026,71,1-2 Miles,Partial College,M,0,S,2,0,Clerical,Pacific,2,30000,1
11027,71,5-10 Miles,Partial College,M,1,M,2,0,Clerical,Pacific,2,30000,1
11028,71,1-2 Miles,Partial College,F,1,M,2,0,Clerical,Pacific,2,30000,1
11029,71,1-2 Miles,Partial College,M,1,M,2,0,Clerical,Pacific,2,30000,1
11030,71,1-2 Miles,Partial High School,F,1,M,2,1,Clerical,Pacific,2,10000,1
11031,70,1-2 Miles,High School,F,1,M,2,0,Skilled Manual,Pacific,4,20000,1
11032,70,1-2 Miles,High School,F,1,M,2,0,Skilled Manual,Pacific,4,20000,1
11033,70,5-10 Miles,High School,M,1,M,2,0,Skilled Manual,Pacific,4,20000,1
11034,70,5-10 Miles,High School,F,1,M,2,0,Skilled Manual,Pacific,4,20000,1
11035,70,1-2 Miles,Partial High School,F,1,M,2,1,Clerical,Pacific,2,10000,1
11036,39,1-2 Miles,Partial College,F,1,M,2,0,Skilled Manual,North America,0,60000,1
11037,40,5-10 Miles,Partial High School,F,0,S,2,0,Clerical,North America,0,40000,1
11038,69,5-10 Miles,Partial High School,F,1,M,2,1,Clerical,Pacific,2,10000,1
11039,69,5-10 Miles,Partial College,M,1,M,2,0,Clerical,Pacific,3,30000,1
11040,40,1-2 Miles,Partial College,M,1,M,2,0,Skilled Manual,North America,0,30000,1
11041,40,1-2 Miles,Partial College,F,1,M,2,0,Skilled Manual,North America,0,60000,1
